AccountOID,ConsumptionDate,Consumption
246596,2020-05-11,0.437
256351,2019-11-12,1.472
262929,2019-08-13,0.498
277704,2020-06-18,0.291
67113,2021-02-25,0.012
249971,2019-01-29,5.900
37358,2020-04-04,0.000
13784,2020-02-28,1.342
59449,2020-01-08,0.995
250202,2019-09-09,2.322
255086,2020-01-13,0.047
106646,2019-09-28,0.194
258924,2019-12-18,1.711
57653,2020-03-30,0.523
8621,2020-03-13,1.332
256766,2020-02-19,8.194
106646,2021-01-16,0.168
39681,2020-07-20,0.677
20550,2020-09-11,0.404
261986,2020-05-15,0.488
107431,2020-01-07,46.175
250409,2020-08-15,85.000
245375,2018-12-22,0.024
245883,2020-09-04,1.329
24294,2020-02-06,0.369
245028,2020-11-25,4.927
263528,2020-10-07,1.694
136213,2019-11-05,4.560
142606,2019-12-08,1.250
267585,2019-05-10,101.000
244424,2020-08-23,0.930
102613,2021-01-22,0.000
144822,2020-01-15,0.278
6564,2019-10-24,0.439
97105,2019-07-28,1.557
6562,2019-10-25,0.057
34770,2021-02-18,0.716
254812,2019-03-08,0.909
17194,2019-07-20,1.027
262645,2020-05-09,0.028
20550,2020-11-29,0.400
257225,2020-01-16,0.215
68102,2019-12-17,0.287
247568,2019-02-05,0.827
250567,2020-05-06,5.510
24294,2020-10-04,0.000
137018,2019-08-01,0.519
245028,2021-02-12,3.792
151213,2020-02-11,0.450
250175,2019-02-09,4.940
263567,2020-04-23,1.480
20342,2019-10-07,1.456
8621,2020-06-18,1.862
136212,2020-11-16,2.716
24294,2019-04-03,0.455
251704,2020-07-05,0.004
34770,2019-06-15,0.910
251704,2020-09-14,1.135
69535,2019-07-21,1.565
152526,2020-06-17,0.135
136212,2019-10-12,1.425
259866,2020-03-19,0.582
245375,2020-05-14,0.331
106646,2020-07-01,0.214
259866,2020-03-24,0.353
250781,2019-12-30,0.055
132516,2019-08-30,0.406
250175,2019-05-08,6.290
256969,2021-03-01,0.068
139513,2020-12-03,53.283
20753,2020-11-28,0.804
139516,2018-12-23,37.542
250175,2018-12-20,5.580
6507,2020-10-24,0.000
256919,2021-02-18,0.090
56988,2020-09-11,0.007
260726,2019-06-16,1.861
261100,2020-05-09,0.010
76953,2019-09-25,0.150
139514,2020-01-29,0.788
250004,2020-09-07,82.000
54212,2020-05-20,0.718
273259,2020-05-08,0.202
262259,2019-10-18,0.604
139515,2019-11-21,0.723
249943,2019-04-12,36.180
262645,2020-05-14,0.019
264909,2020-02-24,0.080
55005,2019-01-17,2.001
245317,2020-10-13,0.198
13784,2020-02-29,1.802
245105,2021-03-13,2.030
7038,2021-02-11,0.317
256971,2019-12-24,0.261
248696,2019-12-05,0.055
33804,2021-01-01,0.484
256084,2020-05-31,0.536
248128,2021-03-10,0.969
255456,2019-05-06,0.434
139515,2020-04-15,0.532
190642,2020-02-17,0.455
6562,2020-11-03,0.250
69500,2020-08-25,0.468
17980,2019-05-06,0.614
122982,2020-11-15,1.232
251704,2020-04-17,14.622
11741,2021-01-13,1.423
250199,2020-01-06,4.544
5479,2020-10-17,0.442
260185,2020-01-20,18.612
72238,2020-03-03,0.166
244858,2021-02-28,1.131
